iter	Passed	Remaining
0	0	53
1	0	47
2	1	42
3	1	37
4	1	37
5	2	35
6	2	36
7	3	35
8	3	34
9	3	33
10	4	33
11	4	34
12	5	38
13	6	37
14	6	36
15	6	36
16	7	35
17	7	35
18	8	35
19	8	34
20	9	34
21	9	33
22	9	33
23	10	32
24	10	32
25	11	31
26	11	31
27	11	30
28	12	30
29	12	29
30	13	29
31	13	29
32	14	29
33	14	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	18	26
41	18	25
42	19	25
43	19	24
44	19	24
45	20	23
46	20	23
47	21	22
48	21	22
49	21	21
50	22	21
51	22	21
52	23	20
53	23	20
54	23	19
55	24	19
56	24	18
57	25	18
58	25	17
59	25	17
60	26	16
61	26	16
62	27	15
63	27	15
64	28	15
65	28	14
66	28	14
67	29	13
68	29	13
69	30	12
70	30	12
71	31	12
72	31	11
73	31	11
74	32	10
75	32	10
76	33	9
77	33	9
78	33	9
79	34	8
80	34	8
81	35	7
82	35	7
83	35	6
84	36	6
85	36	6
86	37	5
87	37	5
88	38	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	40	1
96	41	1
97	41	0
98	41	0
99	42	0
